

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
187.431  000.055  000.055: require('arshlib.strings')
187.433  000.354  000.066: require('arshlib')
187.434  000.374  000.019: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/arshlib.nvim/plugin/arshlib.lua
187.957  000.105  000.105: require('conjure.aniseed.autoload')
187.965  000.229  000.124: require('conjure.main')
188.775  000.339  000.339: require('conjure.aniseed.deps.nvim')
188.779  000.429  000.090: require('conjure.aniseed.nvim')
189.008  000.224  000.224: require('conjure.aniseed.string')
189.498  000.487  000.487: require('conjure.aniseed.core')
189.538  001.571  000.430: require('conjure.mapping')
195.631  006.090  006.090: require('conjure.config')
195.839  000.135  000.135: require('conjure.bridge')
195.955  008.241  000.216: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/conjure/plugin/conjure.vim
196.301  000.183  000.183: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/dial.nvim/plugin/dial.vim
196.864  000.218  000.218: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/mkdnflow.nvim/plugin/mkdnflow.lua
197.409  000.227  000.227: require('cmp.utils.highlight')
198.456  001.372  001.144: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
199.017  000.393  000.393: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
199.233  000.113  000.113: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/nvim-parinfer/plugin/parinfer.vim
199.861  000.443  000.443: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
200.266  000.253  000.253: require('nvim-treesitter-textobjects')
201.184  000.320  000.320: require('nvim-treesitter.textobjects.shared')
201.190  000.675  000.355: require('nvim-treesitter.textobjects.select')
201.724  000.253  000.253: require('nvim-treesitter.textobjects.attach')
202.022  000.295  000.295: require('nvim-treesitter.textobjects.repeatable_move')
202.035  000.821  000.273: require('nvim-treesitter.textobjects.move')
202.481  000.210  000.210: require('nvim-treesitter.textobjects.swap')
202.794  000.286  000.286: require('nvim-treesitter.textobjects.lsp_interop')
202.813  002.815  000.571: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
203.048  000.052  000.052: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
203.536  000.214  000.214: require('nvim-treesitter-playground')
203.587  000.313  000.099: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/playground/plugin/nvim-treesitter-playground.lua
203.735  000.037  000.037: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
204.186  000.275  000.275: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
204.345  003.393: loading packages
205.826  000.094  000.094: require('cmp_buffer.timer')
205.840  000.608  000.514: require('cmp_buffer.buffer')
205.851  001.052  000.444: require('cmp_buffer.source')
205.853  001.125  000.073: require('cmp_buffer')
205.901  001.194  000.069: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
206.462  000.404  000.404: require('cmp_cmdline')
206.500  000.472  000.069: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/cmp-cmdline/after/plugin/cmp_cmdline.lua
206.654  000.059  000.059: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
207.253  000.460  000.460: require('cmp_path')
207.288  000.531  000.071: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/cmp-path/after/plugin/cmp_path.lua
207.784  000.347  000.347: require('cmp_luasnip')
207.848  000.466  000.119: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
208.571  000.207  000.207: require('obsidian.completion')
209.444  000.239  000.239: require('obsidian.echo')
209.691  000.245  000.245: require('obsidian.config')
211.652  001.026  001.026: require('../deps/lua_yaml/yaml')
212.422  000.765  000.765: require('obsidian.util')
212.426  002.025  000.234: require('obsidian.yaml')
212.466  002.772  000.747: require('obsidian.note')
212.486  003.911  000.655: require('obsidian')
212.522  004.543  000.425: require('cmp_obsidian')
212.611  004.651  000.108: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/obsidian.nvim/after/plugin/cmp_obsidian.lua
213.091  000.380  000.380: require('cmp_obsidian_new')
213.156  000.491  000.111: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/obsidian.nvim/after/plugin/cmp_obsidian_new.lua
213.185  000.975: loading after plugins
213.198  000.014: inits 3
216.428  003.230: reading ShaDa
216.928  000.377  000.377: require('luasnip.loaders.from_lua')
217.409  000.427  000.427: require('luasnip.loaders.from_snipmate')
217.479  000.246: opening buffers
217.723  000.245: BufEnter autocommands
217.727  000.003: editing files in windows
218.964  000.111  000.111: require('conjure.sponsors')
218.992  001.248  001.137: require('conjure.log')
219.093  000.098  000.098: require('conjure.timer')
219.529  000.123  000.123: require('conjure.dynamic')
219.537  000.350  000.227: require('conjure.client')
219.721  000.159  000.159: require('mason-core.terminator')
